,transaction_amount,account_balance,credit_score,has_loan,emi_amount,is_fraud,transaction_hour,if_anomaly,if_score
count,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
mean,635454.5643818182,119085.40596363635,603.1852727272727,0.4667272727272727,9777.344443636362,0.038,11.149636363636363,-1.0,-0.028053419581080277
std,968358.0988093807,396900.0739671378,171.53217959201308,0.49893705726113374,17869.476958182502,0.19121361811894338,6.935887644708988,0.0,0.026131512255801258
min,13.56,500.0,300.0,0.0,0.0,0.0,0.0,-1.0,-0.17573876539457234
25%,2096.42,15450.8775,451.0,0.0,0.0,0.0,5.0,-1.0,-0.04042217582176427
50%,169174.83000000002,37508.270000000004,616.0,0.0,0.0,0.0,11.0,-1.0,-0.019693427204103386
75%,1041321.7475,93275.4225,763.0,1.0,10575.619999999999,0.0,17.0,-1.0,-0.008142585664977775
max,10000000.0,5000000.0,899.0,1.0,153325.74,1.0,23.0,-1.0,-9.589753123040445e-06
