,transaction_amount,account_balance,credit_score,has_loan,emi_amount,is_fraud,transaction_hour
transaction_amount,1.0,-0.001392843129161206,0.0006798920887688889,0.00026525038103936865,-0.000294730431224242,0.060638121383545386,-0.0011875422567238167
account_balance,-0.001392843129161206,1.0,0.0020555316954800965,-0.0007439477518033685,-0.001351956856770148,0.0017338665985606083,0.001455452309645939
credit_score,0.0006798920887688889,0.0020555316954800965,1.0,0.001045882725475687,0.001761681721243275,0.00018582718549001642,0.000580876389241095
has_loan,0.00026525038103936865,-0.0007439477518033685,0.001045882725475687,1.0,0.6488046429731766,0.0009491967780317291,0.0025412062508594828
emi_amount,-0.000294730431224242,-0.001351956856770148,0.001761681721243275,0.6488046429731766,1.0,0.0014894568626638842,0.0018416159695525507
is_fraud,0.060638121383545386,0.0017338665985606083,0.00018582718549001642,0.0009491967780317291,0.0014894568626638842,1.0,-0.00026364338212769926
transaction_hour,-0.0011875422567238167,0.001455452309645939,0.000580876389241095,0.0025412062508594828,0.0018416159695525507,-0.00026364338212769926,1.0
